,permno,hsiccd
0,10006,Electronic and Transportation Equipment Manufacturing
15843,10030,Metal and Machinery Manufacturing
27770,10049,Wood and Paper Manufacturing
29780,10057,Metal and Machinery Manufacturing
48659,10078,Metal and Machinery Manufacturing
54687,10102,Chemical and Allied Manufacturing
68975,10104,Business Services
78503,10107,Business Services
88030,10108,Business Services
92930,10137,Utilities
115497,10138,"Finance, Insurance, and Real Estate"
122314,10145,Electronic and Transportation Equipment Manufacturing
150810,10147,Metal and Machinery Manufacturing
154110,10153,Metal and Machinery Manufacturing
175444,10161,Mining
193659,10196,Utilities
205363,10209,Chemical and Allied Manufacturing
216012,10225,Metal and Machinery Manufacturing
239377,10233,Communications
255602,10241,Metal and Machinery Manufacturing
272574,10276,Food and Tobacco Manufacturing
285547,10292,Food and Tobacco Manufacturing
295931,10299,Electronic and Transportation Equipment Manufacturing
303693,10321,Electronic and Transportation Equipment Manufacturing
320319,10324,Chemical and Allied Manufacturing
326586,10353,Metal and Machinery Manufacturing
334100,10364,Metal and Machinery Manufacturing
353832,10372,Metal and Machinery Manufacturing
370688,10401,Communications
391930,10436,Metal and Machinery Manufacturing
404481,10452,Textile and Apparel Manufacturing
412950,10479,Food and Tobacco Manufacturing
428695,10487,Metal and Machinery Manufacturing
445023,10495,Metal and Machinery Manufacturing
458980,10516,Food and Tobacco Manufacturing
478975,10524,Food and Tobacco Manufacturing
497210,10559,Retail Trade
513625,10562,"Finance, Insurance, and Real Estate"
519292,10575,Transportation
531310,10591,Transportation
542889,10604,Chemical and Allied Manufacturing
562725,10623,"Finance, Insurance, and Real Estate"
568040,10693,Health and Social Services
577432,10696,Business Services
586823,10725,"Finance, Insurance, and Real Estate"
591013,10727,Food and Tobacco Manufacturing
606332,10735,Chemical and Allied Manufacturing
618045,10751,Electronic and Transportation Equipment Manufacturing
633531,10778,Chemical and Allied Manufacturing
642907,10786,Metal and Machinery Manufacturing
663280,10791,Metal and Machinery Manufacturing
668080,10807,Metal and Machinery Manufacturing
679231,10823,Utilities
698591,10831,Utilities
700128,10866,Retail Trade
700130,10858,Transportation
731311,10874,Metal and Machinery Manufacturing
757110,10890,Business Services
782909,10909,Business Services
791857,10942,Electronic and Transportation Equipment Manufacturing
798447,10970,"Finance, Insurance, and Real Estate"
813175,10989,Food and Tobacco Manufacturing
833129,11033,Metal and Machinery Manufacturing
844915,11041,Transportation
846064,11042,Communications
869268,11068,Metal and Machinery Manufacturing
881598,11081,Metal and Machinery Manufacturing
887990,11092,Mining
901724,11148,Transportation
913713,11156,Transportation
928632,11164,Metal and Machinery Manufacturing
945107,11199,Transportation
949494,11260,Electronic and Transportation Equipment Manufacturing
968971,11287,Electronic and Transportation Equipment Manufacturing
982888,11295,Textile and Apparel Manufacturing
999121,11308,Food and Tobacco Manufacturing
1024920,11332,Metal and Machinery Manufacturing
1041761,11340,Mining
1061735,11359,Chemical and Allied Manufacturing
1071950,11367,"Finance, Insurance, and Real Estate"
1083802,11375,Electronic and Transportation Equipment Manufacturing
1095679,11391,Food and Tobacco Manufacturing
1107391,11404,Utilities
1107393,11403,Business Services
1142403,11415,Chemical and Allied Manufacturing
1147834,11439,Mining
1159216,11447,Metal and Machinery Manufacturing
1175147,11471,Mining
1190295,11527,Metal and Machinery Manufacturing
1202182,11533,Business Services
1211366,11543,Food and Tobacco Manufacturing
1223946,11552,Chemical and Allied Manufacturing
1232093,11600,Electronic and Transportation Equipment Manufacturing
1241262,11607,Electronic and Transportation Equipment Manufacturing
1262574,11618,Retail Trade
1271737,11626,Communications
1273527,11658,Food and Tobacco Manufacturing
1288004,11666,Transportation
1297896,11674,Utilities
1323695,11682,Electronic and Transportation Equipment Manufacturing
1324465,11690,Mining
1341096,11703,Chemical and Allied Manufacturing
1365303,11746,Electronic and Transportation Equipment Manufacturing
1378663,11754,Electronic and Transportation Equipment Manufacturing
1401455,11762,Business Services
1427254,11770,Electronic and Transportation Equipment Manufacturing
1437801,11786,"Finance, Insurance, and Real Estate"
1442441,11789,Utilities
1453674,11826,Metal and Machinery Manufacturing
1465973,11834,Transportation
1477740,11850,Chemical and Allied Manufacturing
1503539,11896,Electronic and Transportation Equipment Manufacturing
1503655,11891,Personal Services
1520967,11949,Retail Trade
1534190,11955,Utilities
1543154,11970,Electronic and Transportation Equipment Manufacturing
1547836,11981,Mining
1547844,11976,Business Services
1569183,11983,Chemical and Allied Manufacturing
1574396,11997,Communications
1578410,12044,Food and Tobacco Manufacturing
1597583,12052,Electronic and Transportation Equipment Manufacturing
1623359,12060,Metal and Machinery Manufacturing
1649158,12062,Health and Social Services
1658099,12067,Metal and Machinery Manufacturing
1661145,12079,Electronic and Transportation Equipment Manufacturing
1662126,12095,Electronic and Transportation Equipment Manufacturing
1664115,12073,"Finance, Insurance, and Real Estate"
1672619,12076,Retail Trade
1698598,12084,Nonclassifiable Establishments
1721410,12124,Retail Trade
1734567,12140,Electronic and Transportation Equipment Manufacturing
1757491,12167,Retail Trade
1771584,12183,Transportation
1783805,12191,Food and Tobacco Manufacturing
1795519,12212,Food and Tobacco Manufacturing
1805443,12220,Transportation
1818285,12298,Business Services
1829806,12308,Communications
1833153,12319,Mining
1853405,12343,Metal and Machinery Manufacturing
1867000,12345,Wholesale Trade
1870325,12369,Electronic and Transportation Equipment Manufacturing
1873625,12394,Transportation
1884479,12431,Electronic and Transportation Equipment Manufacturing
1910278,12458,Metal and Machinery Manufacturing
1910281,12448,"Finance, Insurance, and Real Estate"
1913398,12449,Business Services
1916680,12456,Electronic and Transportation Equipment Manufacturing
1938747,12466,Mining
1953094,12474,Transportation
1957492,12476,Mining
1960780,12490,Metal and Machinery Manufacturing
1986579,12503,Electronic and Transportation Equipment Manufacturing
2011749,12511,Electronic and Transportation Equipment Manufacturing
2031712,12542,Business Services
2034198,12546,Mining
2056152,12558,Utilities
2058998,12570,Metal and Machinery Manufacturing
2085193,12618,Metal and Machinery Manufacturing
2094251,12622,Health and Social Services
2097475,12623,Electronic and Transportation Equipment Manufacturing
2100684,12626,Retail Trade
2116626,12650,Transportation
2141853,12669,Textile and Apparel Manufacturing
2155558,12706,Metal and Machinery Manufacturing
2170623,12730,Food and Tobacco Manufacturing
2170628,12757,Retail Trade
2185529,12749,Retail Trade
2216905,12781,Wood and Paper Manufacturing
2242704,12810,Transportation
2253240,12837,Food and Tobacco Manufacturing
2268099,12888,Metal and Machinery Manufacturing
2268102,12872,Chemical and Allied Manufacturing
2289563,12896,Food and Tobacco Manufacturing
2289565,12909,Transportation
2314026,12933,Food and Tobacco Manufacturing
2332055,12941,Electronic and Transportation Equipment Manufacturing
2343677,12976,Retail Trade
2360035,12981,Metal and Machinery Manufacturing
2363115,13004,Food and Tobacco Manufacturing
2373092,13012,Textile and Apparel Manufacturing
2389888,13035,Metal and Machinery Manufacturing
2392948,13056,Wood and Paper Manufacturing
2397420,13063,Retail Trade
2417026,13100,Retail Trade
2438210,13103,Electronic and Transportation Equipment Manufacturing
2441258,13119,Electronic and Transportation Equipment Manufacturing
2462590,13135,Mining
2479586,13143,Personal Services
2479595,13141,Mining
2481863,13142,"Finance, Insurance, and Real Estate"
2493303,13151,Mining
2511008,13168,Nonclassifiable Establishments
2514033,13207,Transportation
2525804,13210,Business Services
2528797,13274,Electronic and Transportation Equipment Manufacturing
2539505,13290,Textile and Apparel Manufacturing
2539533,13303,Electronic and Transportation Equipment Manufacturing
2585201,13311,Food and Tobacco Manufacturing
2600287,13354,Food and Tobacco Manufacturing
2600289,13323,Nonclassifiable Establishments
2621427,13356,Chemical and Allied Manufacturing
2621476,13362,Utilities
2631961,13370,Retail Trade
2647191,13389,Metal and Machinery Manufacturing
2656461,13434,Transportation
2656467,13407,Business Services
2671110,13442,Transportation
2682007,13447,Business Services
2684901,13511,Business Services
2687781,13522,Transportation
2703097,13549,Utilities
2711541,13565,Food and Tobacco Manufacturing
2724056,13567,Business Services
2724144,13573,Transportation
2737177,13610,Chemical and Allied Manufacturing
2737182,13586,Metal and Machinery Manufacturing
2740012,13598,Nonclassifiable Establishments
2740703,13637,Metal and Machinery Manufacturing
2780323,13641,Nonclassifiable Establishments
2783144,13696,Communications
2783155,13661,Metal and Machinery Manufacturing
2799760,13688,Utilities
2840765,13721,Chemical and Allied Manufacturing
2843533,13792,Transportation
2843621,13760,"Finance, Insurance, and Real Estate"
