,permno,hsiccd
0,10006,37.0
15843,10030,33.0
27770,10049,26.0
29780,10057,35.0
48659,10078,35.0
54687,10102,28.0
68975,10104,73.0
78503,10107,73.0
88030,10108,73.0
92930,10137,49.0
115497,10138,62.0
122314,10145,37.0
150810,10147,35.0
154110,10153,35.0
175444,10161,10.0
193659,10196,49.0
205363,10209,28.0
216012,10225,34.0
239377,10233,48.0
255602,10241,34.0
272574,10276,20.0
285547,10292,20.0
295931,10299,36.0
303693,10321,37.0
320319,10324,28.0
326586,10353,35.0
334100,10364,33.0
353832,10372,35.0
370688,10401,48.0
391930,10436,33.0
404481,10452,22.0
412950,10479,20.0
428695,10487,33.0
445023,10495,33.0
458980,10516,20.0
478975,10524,20.0
497210,10559,53.0
513625,10562,60.0
519292,10575,40.0
531310,10591,40.0
542889,10604,29.0
562725,10623,60.0
568040,10693,80.0
577432,10696,73.0
586823,10725,60.0
591013,10727,21.0
606332,10735,28.0
618045,10751,37.0
633531,10778,28.0
642907,10786,33.0
663280,10791,35.0
668080,10807,34.0
679231,10823,49.0
698591,10831,49.0
700128,10866,56.0
700130,10858,41.0
731311,10874,35.0
757110,10890,73.0
782909,10909,73.0
791857,10942,36.0
798447,10970,61.0
813175,10989,20.0
833129,11033,33.0
844915,11041,40.0
846064,11042,48.0
869268,11068,35.0
881598,11081,35.0
887990,11092,10.0
901724,11148,40.0
913713,11156,40.0
928632,11164,35.0
945107,11199,40.0
949494,11260,37.0
968971,11287,37.0
982888,11295,23.0
999121,11308,20.0
1024920,11332,35.0
1041761,11340,13.0
1061735,11359,28.0
1071950,11367,61.0
1083802,11375,39.0
1095679,11391,21.0
1107391,11404,49.0
1107393,11403,73.0
1142403,11415,28.0
1147834,11439,12.0
1159216,11447,34.0
1175147,11471,13.0
1190295,11527,33.0
1202182,11533,73.0
1211366,11543,20.0
1223946,11552,28.0
1232093,11600,38.0
1241262,11607,37.0
1262574,11618,52.0
1271737,11626,48.0
1273527,11658,20.0
1288004,11666,40.0
1297896,11674,49.0
1323695,11682,37.0
1324465,11690,10.0
1341096,11703,28.0
1365303,11746,36.0
1378663,11754,38.0
1401455,11762,87.0
1427254,11770,36.0
1437801,11786,60.0
1442441,11789,49.0
1453674,11826,31.0
1465973,11834,40.0
1477740,11850,29.0
1503539,11896,36.0
1503655,11891,70.0
1520967,11949,54.0
1534190,11955,49.0
1543154,11970,36.0
1547836,11981,14.0
1547844,11976,73.0
1569183,11983,28.0
1574396,11997,48.0
1578410,12044,21.0
1597583,12052,37.0
1623359,12060,35.0
1649158,12062,80.0
1658099,12067,33.0
1661145,12079,37.0
1662126,12095,36.0
1664115,12073,60.0
1672619,12076,59.0
1698598,12084,99.0
1721410,12124,53.0
1734567,12140,37.0
1757491,12167,54.0
1771584,12183,40.0
1783805,12191,20.0
1795519,12212,20.0
1805443,12220,40.0
1818285,12298,75.0
1829806,12308,48.0
1833153,12319,10.0
1853405,12343,33.0
1867000,12345,51.0
1870325,12369,37.0
1873625,12394,40.0
1884479,12431,38.0
1910278,12458,33.0
1910281,12448,60.0
1913398,12449,73.0
1916680,12456,36.0
1938747,12466,10.0
1953094,12474,41.0
1957492,12476,13.0
1960780,12490,35.0
1986579,12503,37.0
2011749,12511,38.0
2031712,12542,87.0
2034198,12546,10.0
2056152,12558,49.0
2058998,12570,35.0
2085193,12618,35.0
2094251,12622,80.0
2097475,12623,37.0
2100684,12626,54.0
2116626,12650,40.0
2141853,12669,23.0
2155558,12706,33.0
2170623,12730,20.0
2170628,12757,53.0
2185529,12749,53.0
2216905,12781,27.0
2242704,12810,40.0
2253240,12837,21.0
2268099,12888,32.0
2268102,12872,29.0
2289563,12896,21.0
2289565,12909,40.0
2314026,12933,20.0
2332055,12941,37.0
2343677,12976,53.0
2360035,12981,34.0
2363115,13004,20.0
2373092,13012,23.0
2389888,13035,35.0
2392948,13056,27.0
2397420,13063,53.0
2417026,13100,53.0
2438210,13103,37.0
2441258,13119,36.0
2462590,13135,10.0
2479586,13143,70.0
2479595,13141,13.0
2481863,13142,67.0
2493303,13151,10.0
2511008,13168,99.0
2514033,13207,40.0
2525804,13210,73.0
2528797,13274,37.0
2539505,13290,23.0
2539533,13303,36.0
2585201,13311,20.0
2600287,13354,20.0
2600289,13323,99.0
2621427,13356,29.0
2621476,13362,49.0
2631961,13370,54.0
2647191,13389,35.0
2656461,13434,40.0
2656467,13407,73.0
2671110,13442,40.0
2682007,13447,73.0
2684901,13511,73.0
2687781,13522,40.0
2703097,13549,49.0
2711541,13565,20.0
2724056,13567,73.0
2724144,13573,40.0
2737177,13610,28.0
2737182,13586,35.0
2740012,13598,99.0
2740703,13637,35.0
2780323,13641,99.0
2783144,13696,48.0
2783155,13661,32.0
2799760,13688,49.0
2840765,13721,28.0
2843533,13792,40.0
2843621,13760,67.0
2846664,13805,20.0
2846670,13788,28.0
2874502,13821,49.0
2896057,13856,20.0
2896062,13864,40.0
2928230,13901,21.0
2954029,13928,13.0
2954032,13936,23.0
2954047,13911,87.0
3008307,13949,99.0
3010953,13963,99.0
3013597,13964,99.0
3016241,13983,28.0
3018897,14008,28.0
3029115,14011,28.0
3030949,14058,49.0
3030950,14066,37.0
3047387,14154,38.0
3052617,14090,36.0
3089114,14189,33.0
3104958,14218,20.0
3122022,14250,10.0
3137129,14277,56.0
3162928,14295,73.0
3165187,14297,73.0
3167724,14314,29.0
3167727,14322,53.0
3167730,14323,33.0
3205037,14338,70.0
3207566,14357,29.0
3223647,14402,25.0
3238104,14429,29.0
3250076,14461,70.0
3272877,14488,20.0
3272888,14496,40.0
3272891,14509,40.0
3315493,14525,35.0
3331895,14533,20.0
3331909,14541,29.0
3372780,14542,73.0
3375233,14568,49.0
3380737,14579,73.0
3383182,14592,28.0
3383186,14593,35.0
3400601,14605,37.0
3410825,14601,99.0
3429957,14613,37.0
